City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Bom Jardim,BR,2022-07-13 12:49:14,-7.7958,-35.5872,76.01,82,60,12.64
1,Ahipara,NZ,2022-07-13 12:49:14,-35.1667,173.1667,55.96,90,100,3.36
2,Atuona,PF,2022-07-13 12:49:15,-9.8,-139.0333,77.4,76,18,20.42
3,Albany,US,2022-07-13 12:45:06,42.6001,-73.9662,73.58,72,0,1.01
4,Plettenberg Bay,ZA,2022-07-13 12:49:15,-34.0527,23.3716,60.42,58,37,8.57
5,Cooma,AU,2022-07-13 12:49:15,-36.2333,149.1333,37.17,100,100,16.11
6,Souillac,MU,2022-07-13 12:49:16,-20.5167,57.5167,70.68,71,60,15.1
7,Alghero,IT,2022-07-13 12:49:16,40.5589,8.3181,93.29,40,0,10.36
8,Bambous Virieux,MU,2022-07-13 12:49:16,-20.3428,57.7575,72.21,71,58,15.23
9,Tuktoyaktuk,CA,2022-07-13 12:49:16,69.4541,-133.0374,41.0,100,100,5.75
10,Coihaique,CL,2022-07-13 12:49:17,-45.5752,-72.0662,26.55,86,75,3.44
11,Kapaa,US,2022-07-13 12:49:17,22.0752,-159.319,75.52,92,100,19.57
12,Lorengau,PG,2022-07-13 12:49:18,-2.0226,147.2712,81.32,80,94,4.92
13,Paamiut,GL,2022-07-13 12:49:18,61.994,-49.6678,42.67,85,4,14.67
14,Punta Arenas,CL,2022-07-13 12:48:59,-53.15,-70.9167,37.51,87,75,21.85
15,Santa Maria,BR,2022-07-13 12:46:06,-29.6842,-53.8069,42.1,100,100,6.91
16,Tuatapere,NZ,2022-07-13 12:49:18,-46.1333,167.6833,44.62,88,100,8.1
17,East London,ZA,2022-07-13 12:49:19,-33.0153,27.9116,68.94,56,0,6.91
18,Fallon,US,2022-07-13 12:49:19,39.4735,-118.7774,74.44,31,0,5.75
19,Jumla,NP,2022-07-13 12:49:19,29.2747,82.1838,65.34,93,100,2.62
20,Esperance,AU,2022-07-13 12:49:19,-33.8667,121.9,55.69,50,0,12.53
21,Evensk,RU,2022-07-13 12:49:20,61.95,159.2333,49.1,97,96,2.06
22,Avarua,CK,2022-07-13 12:49:20,-21.2078,-159.775,71.65,73,75,2.3
23,Mar Del Plata,AR,2022-07-13 12:45:19,-38.0023,-57.5575,47.08,72,100,15.01
24,Saint Anthony,US,2022-07-13 12:49:20,45.0205,-93.218,64.65,94,20,4.61
25,Tasiilaq,GL,2022-07-13 12:49:21,65.6145,-37.6368,51.96,79,22,2.84
26,Bredasdorp,ZA,2022-07-13 12:49:21,-34.5322,20.0403,62.76,58,20,21.0
27,Praya,CV,2022-07-13 12:49:21,14.9215,-23.5087,78.19,75,42,10.69
28,Rikitea,PF,2022-07-13 12:49:22,-23.1203,-134.9692,73.18,78,55,11.39
29,Srandakan,ID,2022-07-13 12:49:22,-7.9386,110.2506,76.64,90,75,11.16
30,Gizo,SB,2022-07-13 12:49:22,-8.103,156.8419,82.17,75,30,7.14
31,Georgetown,MY,2022-07-13 12:49:22,5.4112,100.3354,84.15,82,20,2.3
32,Jamestown,US,2022-07-13 12:49:23,42.097,-79.2353,70.02,87,40,6.91
33,Lavrentiya,RU,2022-07-13 12:49:23,65.5833,-171.0,48.96,82,100,5.41
34,Kanashevo,RU,2022-07-13 12:49:23,55.2169,62.0634,82.96,56,45,4.79
35,Kulunda,RU,2022-07-13 12:49:24,52.566,78.9385,62.19,71,100,13.24
36,Bani Walid,LY,2022-07-13 12:49:24,31.7566,13.9942,91.71,23,0,10.54
37,Inirida,CO,2022-07-13 12:49:24,3.8653,-67.9239,72.75,99,100,1.34
38,Alice Springs,AU,2022-07-13 12:49:25,-23.7,133.8833,38.75,65,0,4.61
39,Saint-Francois,FR,2022-07-13 12:49:25,46.4154,3.9054,85.44,28,0,6.91
40,Bluff,NZ,2022-07-13 12:49:25,-46.6,168.3333,42.8,86,100,14.52
41,Sola,VU,2022-07-13 12:49:26,-13.8833,167.55,80.42,71,9,10.02
42,Brae,GB,2022-07-13 12:49:26,60.3964,-1.353,54.27,89,96,20.8
43,Busselton,AU,2022-07-13 12:49:26,-33.65,115.3333,57.11,71,10,1.83
44,Surt,LY,2022-07-13 12:49:26,31.2089,16.5887,82.4,48,0,14.92
45,Palmonostora,HU,2022-07-13 12:50:27,46.6242,19.9516,89.38,39,3,17.49
46,North Shore,NZ,2022-07-13 12:50:27,-36.8,174.75,56.8,96,100,3.0
47,Vanimo,PG,2022-07-13 12:50:27,-2.6741,141.3028,79.03,81,74,1.23
48,Mataura,NZ,2022-07-13 12:50:28,-46.1927,168.8643,42.48,98,100,6.29
49,Port Alfred,ZA,2022-07-13 12:48:38,-33.5906,26.891,70.2,39,0,16.75
50,Mocuba,MZ,2022-07-13 12:50:28,-16.8392,36.9856,75.07,56,100,5.21
51,Mahebourg,MU,2022-07-13 12:50:28,-20.4081,57.7,72.25,71,45,15.64
52,Eureka,US,2022-07-13 12:50:29,40.8021,-124.1637,58.68,84,99,1.99
53,Bonthe,SL,2022-07-13 12:50:29,7.5264,-12.505,82.24,72,100,10.63
54,Farah,AF,2022-07-13 12:50:29,32.5,62.5,101.23,6,0,7.65
55,Yar-Sale,RU,2022-07-13 12:50:30,66.8333,70.8333,51.42,90,100,10.89
56,Hilo,US,2022-07-13 12:50:30,19.7297,-155.09,77.29,97,100,5.01
57,Lompoc,US,2022-07-13 12:50:30,34.6391,-120.4579,58.78,95,100,3.44
58,Koumac,NC,2022-07-13 12:50:31,-20.5667,164.2833,73.24,92,100,7.31
